id,effect,internal_name,introduction,name
74,"伤害计算中，此宝可梦的攻击能力值×２。
- 此效果不是能力变化。使用其他数据代替攻击能力值（如将对手的攻击能力值代替自身攻击能力值的移花接木、将自身的防御能力值代替自身攻击能力值的扑击）进行伤害计算的物理招式时，伤害计算中的攻击也会×２。
每回合有1⁄3机率攻击提升50%。",pure-power,因瑜伽的力量，物理攻击的威力会变为２倍。,瑜伽之力
75,不会被击中要害，即使是必定命中要害的招式也不会击中要害。,shell-armor,被坚硬的壳保护着，对手的攻击不会击中要害。,硬壳盔甲
76,拥有该特性的宝可梦在场时，任何天气造成的影响无效。天气并不会消失。,air-lock,所有天气的影响都会消失。,气闸
77,对拥有该特性且处于混乱状态的宝可梦使用招式时，命中率仅为原本的一半。,tangled-feet,在混乱状态时，闪避率会提高。,蹒跚
78,"具有该特性的宝可梦不受电属性招式的影响，当被电属性的招式击中时，提升1级速度。
- 该特性只能令自身不受电属性招式的影响，不能将电属性招式的目标转移至自身。
- 该特性对电属性的变化招式有效。包括通过其他方式变为电属性的变化招式。
- 对于连续招式，只会触发1次特性效果。
- 触发该特性时，与没有效果相同，不会发动招式的追加效果。
- 该特性的宝可梦无法触发自身携带的充电电池。",motor-drive,受到电属性的招式攻击时，不会受到伤害，而是速度会提高。,电气引擎
263,拥有此特性的宝可梦使出的龙属性招式威力会提高50%。,dragons-maw,龙属性的招式威力会提高。,龙颚
79,对手与自身性别相同时，招式威力提升25%；性别不同时威力下降25%。双方只要有一方为性别不明时，招式威力不变，群体对战的群体伤害中，多性别仍然为同性威力提升25%，不同性别威力下降25%。,rivalry,面对性别相同的对手，会燃起斗争心，变得更强。而面对性别不同的，则会变弱。,斗争心
80,"该特性的宝可梦陷入畏缩状态后，速度提升1级。
该特性的宝可梦进入弱视和畏缩状态时，速度提升1级。",steadfast,每次畏缩时，不屈之心就会燃起，速度也会提高。,不屈之心
81,"天气处于冰雹或下雪状态时，闪避率提升20%。
不具有冰属性的宝可梦获得该特性后不受冰雹天气的伤害。",snow-cloak,下雪天气时，闪避率会提高。,雪隐
82,当宝可梦的ＨＰ不大于最大ＨＰ的1⁄2，而不是通常的1⁄4时，携带的树果就会被食用。,gluttony,原本ＨＰ变得很少时才会吃树果，在ＨＰ还有一半时就会把它吃掉。,贪吃鬼
83,"当被击中要害时，攻击提升至+6阶级。
处于替身状态下的宝可梦，无法发动该特性。",anger-point,要害被击中时，会大发雷霆，攻击力变为最大。,愤怒穴位
84,"当失去携带物品时速度加倍。
轻装特性发动中，如果获得新的道具、失去轻装特性或者被换下场，则效果消失。
如果本来就没有携带物品，则轻装特性不发动。
轻装特性引发的速度加倍状态不会被接棒传递。
具该特性的宝可梦如无携带物品，每回合可以攻击2次且只消耗1ＰＰ。",unburden,失去所持有的道具时，速度会提高。,轻装
85,"拥有该特性的宝可梦受到火属性招式攻击时，伤害计算中攻击方的攻击／特攻变为原本的1⁄2。
- 第八世代及以前，拥有该特性的宝可梦受到火属性招式攻击时，此招式的威力变为原本的1⁄2。
灼伤造成的伤害变为原本的1⁄2。
- 灼伤的降低物理招式伤害效果对拥有该特性的宝可梦仍然有效。",heatproof,耐热的体质会让火属性的招式伤害减半。,耐热
86,"该特性的宝可梦上升或下降能力变化变为原来的两倍。
- 如果能力变化已经无法再提高或降低，尽管依然能使用改变能力的招式，但能力不会再改变。
- 该特性在生效时不会展示该特性。
- 通过接棒把能力变化传递给该特性的宝可梦时，能力变化不会加倍。
- 若使用自我暗示对对方的能力变化进行复制，能力变化不会加倍。
- 该特性对变化招式的Ｚ力量效果无效。例如在使用Ｚ重力时，特攻只会上升 1 级 。
- 该特性对极巨招式产生的变化效果有效。",simple,能力变化会变为平时的２倍。,单纯
87,"具有该特性的宝可梦不受水属性招式的影响，当被水属性的招式击中时，回复最大ＨＰ的1⁄4。
- 该特性只能令自身不受水属性招式的影响，不能将水属性招式的目标转移至自身。
- 该特性对水属性的变化招式有效。包括通过其他方式变为水属性的变化招式。
- 对于连续招式，只会触发1次特性效果。
- 触发该特性时，与没有效果相同，不会发动招式的追加效果。
- 该特性的宝可梦无法触发自身携带的球根或光苔。
- 该特性的宝可梦进入守住状态无法通过被水属性招式击中回复ＨＰ。
在下雨或大雨天气下，该特性的宝可梦每回合回复最大ＨＰ的1⁄8。
该特性的宝可梦受到火属性招式攻击的话，会受到1.25倍的伤害。
在大晴天或大日照天气下，该特性的宝可梦每回合失去最大ＨＰ的1⁄8。",dry-skin,下雨天气时和受到水属性的招式时，ＨＰ会回复。晴朗天气时和受到火属性的招式时，ＨＰ会减少。,干燥皮肤
88,"该特性的宝可梦出场时，对手防御小于特防时，自身攻击提升1级；对手防御大于或等于特防时，自身特攻提升1级。
在双打对战及三打对战时，用对方所有宝可梦的防御总和与特防总和来计算。
该特性会受到能力变化与力量戏法状态的影响。
该特性不会受到携带的道具、沙暴天气对岩石属性的特防加成、影响能力但不影响能力变化的特性（例如神奇鳞片）以及奇妙空间状态的影响。",download,比较对手的防御和特防，根据较低的那项能力相应地提高自己的攻击或特攻。,下载
89,拳类招式的威力上升20%。,iron-fist,使用拳类招式的威力会提高。,铁拳
90,"在中毒和剧毒状态下，ＨＰ不会因为中毒而减少；每回合回复最大ＨＰ的1⁄8。
剧毒状态的伤害计数会在每次行动后增加，失去毒疗特性后剧毒状态的伤害计数不会重置。",poison-heal,变为中毒状态时，ＨＰ不会减少，反而会增加起来。,毒疗
91,"属性一致加成对攻击招式威力的提升从原本的1.5倍提升至2倍。
如果具有此特性的宝可梦进行了太晶化，则:
- 适应力只影响太晶属性的招式，如果太晶属性是自身原属性之一，则提升为2.25倍，否则为2倍；
- 星晶属性招式不受适应力影响。",adaptability,与自身同属性的招式威力会提高。,适应力
92,"使用攻击次数浮动在2～5次之间的连续招式时，攻击次数会固定在5次。使用三连踢、三旋击或鼠数儿时，只计算一次命中率。
- 即使发动攻击的宝可梦的特性在中途失去连续攻击特性（如变为木乃伊特性），仍然会继续攻击最大次数。",skill-link,如果使用连续招式，总是能使出最高次数。,连续攻击
93,"该特性的宝可梦在下雨时，该回合最后会解除所有异常状态。
处于瞌睡状态的该特性宝可梦，由于回合结束时，先触发湿润之躯，因此在下雨时也会进入睡眠，睡眠后的下一回合若还在下雨，则可触发湿润之躯解除睡眠。",hydration,下雨天气时，异常状态会治愈。,湿润之躯
94,大晴天和大日照天气下特攻增至1.5倍，但每回合损失最大ＨＰ的1⁄8。,solar-power,晴朗天气时，特攻会提高，而每回合ＨＰ会减少。,太阳之力
95,"陷入异常状态时速度提升50%，并无视麻痹降低速度的效果。异常状态恢复或失去特性时速度恢复。
陷入异常状态时速度提升1级。",quick-feet,变为异常状态时，速度会提高。,飞毛腿
96,"所有非一般属性的招式属性均变为一般属性，所有因此特性变成一般属性和本身就是一般属性的招式都会威力变为1.2倍。
该特性的一般属性宝可梦使出受此效果的攻击招式具有属性一致加成，相当于1.2×1.5=1.8，并且能消耗一般宝石增加招式威力。
该特性的宝可梦使用对原属性没有效果的招式，依然产生效果。例如：使用电磁波可使地面属性宝可梦麻痹。
该特性的宝可梦使用冷冻干燥，仍会触发招式特效，即对水属性宝可梦的相性为2×。
变化招式的Ｚ招式会受到该特性的影响，变为一般属性。
该特性的宝可梦使用飞身重压，招式会变为一般属性和飞行属性，但只对一般属性的宝可梦计算属性一致加成。
以下情况不会受到该特性的影响：
- 会改变属性的一般属性招式，如觉醒力量、自然之恩、制裁光砾等招式；
- 攻击招式的Ｚ招式不受此特性的影响；
- 该特性的宝可梦进入输电状态或者受到等离子浴的影响后，使出的招式变为电属性。",normalize,无论是什么属性的招式，全部会变为一般属性。威力会少量提高。,一般皮肤
97,攻击击中要害时伤害为正常击中要害伤害的1.5倍。即伤害变为未击中要害时的2.25倍。,sniper,击中要害时，威力会变得更强。,狙击手
98,"不会受到天气、道具、特性、异常状态、状态变化、除挣扎之外的反作用力伤害的招式等造成的伤害。
- 非伤害效果仍然保留：例如灼伤状态的攻击减半效果，剧毒状态的伤害计数增加，生命宝珠对招式威力的增幅作用。
- 由于未受到寄生种子的伤害，对手也不会回复ＨＰ。
下列会减少ＨＰ的效果不能被此特性防止：
- 招式的副作用：
由于使用咒术、替身、腹鼓、分担痛楚而失去ＨＰ
由同命、终焉之歌直接导致的昏厥状态
造成自身陷入昏厥状态的招式
- 由于挣扎而受到的反作用力伤害
- 由于混乱而对自己造成的伤害
在第四世代中，在对战外中毒依然会减少ＨＰ。",magic-guard,不会受到攻击以外的伤害。,魔法防守
99,"该特性宝可梦使用的招式与以该特性宝可梦为目标的招式都一定会命中，包括在飞翔、挖洞等情况的宝可梦都可以被击中，除非这只宝可梦因发号施令特性在吃吼霸的口中。
只会影响命中，不能穿透守住、快速防守、广域防守的保护。",no-guard,由于无防守战术，双方使出的招式都必定会击中。,无防守
141,每回合结束时攻击、防御、特攻、特防、速度中随机一项提升2级，随机另一项降低1级。,moody,每一回合，能力中的某项会大幅提高，而某项会降低。,心情不定
100,"在其他宝可梦使用的招式的优先度与自身使用的招式的优先度相同的情况下，拥有该特性的宝可梦一定后使用招式。当多只宝可梦同时具有该特性时，优先度仍由速度低的先使用招式。
慢出特性在场上宝可梦携带有后攻之尾与饱腹薰香时无效。该特性的宝可梦携带了先制之爪或释陀果并触发时，慢出不影响其效果。
慢出特性的宝可梦与戏法空间同时在场，慢出特性的宝可梦仍最后使用招式。
获得或失去该特性，被无特性覆盖或解除无特性，该特性的影响在操作的下一回合才能生效。
除队长外该特性的宝可梦只会命中面前的对手。TS",stall,使出招式的顺序必定会变为最后。,慢出
101,"使用威力小于等于60的招式，威力提升原来的50%。只计算招式自身的效果对威力的影响，不计算道具、特性等其它任何的效果。
- 连续招式按单独每次攻击时威力判断是否触发该特性。
- 当雪崩的伤害因为受到对手的招式攻击而翻倍时，技术高手将不会生效。
- 当杂技的伤害因为没有携带物品而翻倍时，技术高手将不会生效。
- 当气象球的伤害因为天气而翻倍时，技术高手将不会生效。
- 当大地波动的伤害因为场地型状态而翻倍时，技术高手将不会生效。
- 当追打的伤害因为目标在本回合内准备替换下场而伤害翻倍，技术高手将不会生效。",technician,攻击时可以将低威力招式的威力提高。,技术高手
102,"天气是大晴天和大日照时不会陷入异常状态。
不会治愈异常状态。",leaf-guard,晴朗天气时，不会变为异常状态。,叶子防守
103,"携带物品的能力失效（包括负面效果）。
拥有笨拙特性的宝可梦无法使用投掷，但能够使用掉包及戏法。
如果该特性的宝可梦使用能通过道具改变招式属性的招式时（如制裁光砾），招式为一般属性。
以下道具依然有效：
- 超级石、朱红色宝珠、靛蓝色宝珠和Ｚ纯晶；
- 影响基础点数、经验值和亲密度的携带物品（如护符金币、幸运蛋、力量负重、安抚之铃等）；
- 携带物品的对战外效果（如不变之石、洁净之符、头巾等）。",klutz,无法使用持有的道具。,笨拙
104,"拥有该特性的宝可梦使出招式时能够使目标自身、目标同伴以及自身同伴的一部分特性失效。
当拥有该特性的宝可梦登场时会出现提示：[宝可梦的名字]打破了常规！。
当拥有该特性的宝可梦强制拉对手的备战宝可梦上场时，上场的备战宝可梦的特性不会对场上的毒菱、撒菱和黏黏网状态生效。
- 这是破格特性唯一能够令魔法防守特性失效的情况。
宝可梦仅仅在受到招式影响时，它的特性才有可能因招式施加方拥有破格特性而失效。对于某些特性在受到招式影响以外的时间产生的效果，或者对于不在受到招式影响时发动的特性，破格特性没有任何作用。
以下特性不会受到破格影响：
- 魔法防守、金属防护、幻影防守、棱镜装甲、界限盾壳、绝对睡眠等属于特性都是在受到招式影响时发动效果的。
- 同伴的胜利之星、蓄电池、能量点和钢之意志特性。
- 压迫感、妖精气场、暗黑气场、气场破坏等会对场上所有宝可梦产生作用的特性不会受到破格。
- 静电、孢子、火焰之躯、毒刺、迷人之躯、咒术之躯、木乃伊、粗糙皮肤、铁刺、不服输、好胜等在对方使用招式之后才发动的特性不会受到破格特性影响。",mold-breaker,可以不受对手特性的干扰，向对手使出招式。,破格
105,击中要害等级提升1级。可以与要害攻击、聚气叠加。,super-luck,因为拥有超幸运，攻击容易击中对手的要害。,超幸运
106,"当拥有这个特性的宝可梦被接触类招式击倒时，发动攻击的宝可梦将损失最大ＨＰ的1⁄4。
若场上有湿气特性的宝可梦，诱爆特性无效。",aftermath,变为濒死时，会对接触到自己的对手造成伤害。,引爆
107,"对战开始时，当对手拥有效果绝佳、一击必杀招式、玉石俱碎或大爆炸时会发出警告：<宝可梦的名字>发抖了！。
其中把制裁光砾、气象球、自然之恩、双倍奉还、金属爆炸、镜面反射、高科技光炮、多属性攻击、觉醒之舞、大地波动都视作游戏中显示的属性。
危险预知不把乱流下的属性相性计入。
冷冻干燥被视作冰属性招式，对水属性宝可梦造成的效果绝佳不考虑在内。
飞身重压被视作格斗属性招式，飞行属性的相性不考虑在内。",anticipation,可以察觉到对手拥有的危险招式。,危险预知
108,"预知对手威力最强的招式，双打对战中会预知对方2只宝可梦中威力最强的招式。如果这样的招式有多个，将会随机预知一个。
提示为：读取了<宝可梦的名字>的<招式名称>！
变化招式的威力视为1。
基础威力为“变化”的非变化招式，威力根据以下取值。
拥有该特性的宝可梦可以随机回避攻击，即使是攻击必定会命中的招式。TS",forewarn,出场时，只读取１个对手拥有的招式。,预知梦
109,"拥有该特性的宝可梦使用招式攻击目标时，无视目标防御、特防和闪避率的能力变化；受到目标的招式攻击时，无视目标的攻击、特攻和命中率的能力变化。
- 拥有该特性的宝可梦使用移花接木攻击目标时，无视目标防御的能力变化；受到移花接木攻击时，无视自身攻击的能力变化。
- 拥有该特性的宝可梦受到扑击攻击时，无视目标防御的能力变化。
- 该特性只在命中和伤害的计算过程中无视目标的能力变化，故：
不会影响因能力变化而改变的陀螺球、电球、辅助力量、嚣张和惩罚等招式的威力；
使用吸取力量回复的ＨＰ会根据目标攻击的能力变化而计算。
- 因混乱而攻击自身时，不会无视自身的能力变化。",unaware,可以无视对手能力的变化，进行攻击。,纯朴
110,该特性的宝可梦自身发动效果不理想（属性克制≤1⁄2时）的招式伤害×2。,tinted-lens,可以将效果不好的招式以通常的威力使出。,有色眼镜
111,效果绝佳招式造成的伤害降低1⁄4。,filter,受到效果绝佳的攻击时，可以减弱其威力。,过滤
112,该特性的宝可梦上场的前五回合物理招式的伤害和速度能力减半。,slow-start,在５回合内，攻击和速度减半。,慢启动
113,"拥有该特性的宝可梦使用一般属性及格斗属性招式可以命中幽灵属性宝可梦，属性相性改为×1，另一属性参与计算。
拥有该特性的宝可梦不会受到威吓的影响。",scrappy,一般属性和格斗属性的招式可以击中幽灵属性的宝可梦。对威吓也毫不动摇。,胆量
114,"具有该特性的宝可梦不受水属性招式的影响，当被水属性的招式击中时，提升1级特攻。
场上其他宝可梦（包括同伴）使出的作用范围为单体的水属性招式的目标强制转移至该特性的宝可梦。若场上有多只宝可梦拥有此特性，将吸引到速度较高的那只。万众瞩目可以覆盖这个效果。螺旋尾鳍、坚毅、狙击可以无视这个效果。
- 即使处于守住状态，依然能够吸引水属性的招式，但特攻不会提升。
- 该特性对水属性的变化招式有效。包括通过其他方式变为水属性的变化招式。
- 对于连续招式，只会触发1次特性效果。
- 触发该特性时，与没有效果相同，不会发动招式的追加效果。
- 该特性的宝可梦无法触发自身携带的球根或光苔。
- 可以吸引同伴的极巨水流，即便极巨水流无法直接对同伴使用。
拥有该特性的宝可梦吸收整层的敌人的水属性招式，使其效果无效化。敌方队伍如果也有拥有引水特性的宝可梦，可以使我方的效果无效化。TS",storm-drain,将水属性的招式引到自己身上，不会受到伤害，而是会提高特攻。,引水
115,"天气处于冰雹或下雪状态时，每回合结束时回复最大ＨＰ的1⁄16。
不具有冰属性的宝可梦获得该特性后不受冰雹天气的伤害。",ice-body,下雪天气时，会缓缓回复ＨＰ。,冰冻之躯
142,该特性的宝可梦不会受到沙暴和冰雹天气带来的负面影响，对粉末类招式免疫。,overcoat,不会受到沙暴的伤害。也不会受到粉末类和孢子类招式的影响。,防尘
117,"当该宝可梦登场时，天气转为下雪并持续5回合。
- 在携带了道具冰冷岩石的情况下，下雪会持续8回合。
- 在大雨、大日照和乱流天气下，特性发动失败。
- 如果有多只拥有可更换天气特性的宝可梦同时登场，那么将会按照宝可梦的速度依次发动特性改变天气，后者覆盖前者。发动失败的情况下除外。",snow-warning,出场时，会将天气变为下雪。,降雪
118,"在对战结束后，如果拥有该特性的宝可梦没有携带物品，那么它可能采到甜甜蜜，等级越高采到甜甜蜜的几率越高。
以下为各等级采到甜甜蜜的概率表。
拥有该特性的宝可梦得到宝箱后，提升该宝箱开出蜂蜜的概率。",honey-gather,战斗结束时，有时候会捡来甜甜蜜。,采蜜
119,"该特性的宝可梦出场后，察觉全部对手携带的道具。如果对手没有携带物品，则不会出现任何提示。如果对手有携带物品，则会有一个提示出现：<宝可梦的名字>察觉到了<对手宝可梦的名字>的<道具名称>！如果对手不止一个，还会出现提示：连<对手宝可梦的名字>携带的<道具名称>也察觉到了！。
对手交换宝可梦后，不管交换上场的宝可梦有没有携带道具，特性均无法发动。",frisk,出场时，可以察觉对手的持有物。,察觉
120,"使用具有反作用力伤害的招式时，招式威力提升20%。作用范围包括飞踢、飞膝踢、下压踢和闪电强袭，但不包括挣扎、惊爆大头、铁蹄光线和叶绿爆震。
使受到作用的招式的基础威力翻倍。",reckless,自己会因反作用力受伤的招式，其威力会提高。,舍身
121,"宝可梦携带相应石板或Ｚ纯晶时改变属性。
拥有该特性的宝可梦在对战中不能获得或失去石板。",multitype,自己的属性会根据持有的石板而改变。,多属性
122,"在大晴天或大日照天气时，己方所有宝可梦攻击与特防提升50%，樱花儿的形态会从阴天形态变为晴天形态。
该特性仅当拥有者为樱花儿时有效，当樱花儿失去该特性时会变回阴天形态。",flower-gift,晴朗天气时，自己与同伴的攻击和特防能力会提高。,花之礼
123,每个回合结束时，所有处于睡眠状态或者具有特性绝对睡眠的对手宝可梦的ＨＰ损失最大ＨＰ的1⁄8。,bad-dreams,给予睡眠状态的对手伤害。,梦魇
124,"当该特性的宝可梦未携带任何道具时受到接触类招式攻击，可以获得对手的道具。
该特性对黏着特性的宝可梦无效。野生宝可梦不会发动该特性。该特性的宝可梦被接触类招式击倒时不发动该特性。
该特性的宝可梦受到接触类连续招式（如扫尾拍打）时，最后一次攻击发动特性。如果多个拥有该特性的宝可梦被同一接触类招式（如狂舞挥打）命中并满足特性发动条件时，速度最快的宝可梦获得对方的道具。
该特性可以在自身的道具因接触类招式转移到攻击方身上之后（如通过对方的魔术师特性，小偷等招式，以及自身的附着针等）立即发动将该道具取回。
该特性的宝可梦所携带的特定物品如果在受到攻击时立即消耗（如被拍落，或发动气势披带，弱点保险等），会在消耗后立即偷取攻击方的道具。
以下道具无法偷取：
- 邮件；
- 阿尔宙斯携带的石板；
- 盖诺赛克特携带的卡带；
- 银伴战兽携带的存储碟；
- 帝牙卢卡携带的大金刚宝玉；
- 帕路奇亚携带的大白宝玉；
- 骑拉帝纳携带的大白金宝玉；
- 固拉多携带的朱红色宝珠；
- 盖欧卡携带的靛蓝色宝珠；
- 能够超级进化宝可梦携带的超级石；
- Ｚ纯晶；
- 苍响携带的腐朽的剑；
- 藏玛然特携带的腐朽的盾；
- 厄诡椪携带的面具。",pickpocket,盗取接触到自己的对手的道具。,顺手牵羊
125,"附带追加效果的攻击招式的威力提升30%，但这些招式的追加效果不再发动。
- 对王者之证、锐利之牙和投掷道具带来的效果无效，这些效果能够正常发动，并且招式的威力也不会因此上升。
- 对极巨招式无效。
- 对千波激荡、紧咬不放两个造成无法逃走状态的招式无效，但对缝影、掷锚有效。
- 对上菜能提升招式威力，但追加效果仍然能正常发动。
- 在《朱／紫》Ver2.0.1前，对喷射拳能提升招式威力，尽管该招式无附带追加效果。
- 对电光束能提升招式威力，尽管该招式无附带追加效果。
如果攻击方发动了强行特性，下列在伤害计算后才处理的效果会被忽略：
- 防御方的变色、怒火冲天、跃跃欲逃、危险回避、顺手牵羊特性；
- 防御方的陷阱甲壳招式的触发；
- 攻击方携带的贝壳之铃、防御方携带的红牌、逃脱按键、亚开果、香罗果；
- 攻击方的生命宝珠的损失ＨＰ的副作用，但不包括增加招式威力的效果。",sheer-force,招式的追加效果消失，但因此能以更高的威力使出招式。,强行
126,"该特性的宝可梦受到的能力变化变为原本的反向。上升变为下降，下降变为上升。包括受到对方的特性（如威吓）、招式（如摇尾巴）的影响，以及自身使用降低使用者能力的招式带来的影响。
- 通过接棒或自我暗示传递的能力变化会正常保留。
- 麻痹或灼伤造成的能力降低不受影响。
- 唱反调的判定优先于白雾、能力防守和花幕。
- 使用腹鼓会令攻击能力等级变为↓↓↓↓↓↓，并降低ＨＰ。
- 变化招式变为Ｚ招式后，Ｚ力量效果附加的能力变化不受该特性的影响。
例如，变圆变为Ｚ招式后，Ｚ力量效果的命中率↑不受该特性的影响，而招式本身的防御↑效果仍会因为唱反调而变成↓。
由攻击招式变为的Ｚ招式，如九彩升华齐聚顶、炽魂热舞烈音爆，其附加的能力变化仍会因为该特性而反向变动。",contrary,能力的变化发生逆转，原本提高时会降低，而原本降低时会提高。,唱反调
127,"对手的宝可梦无法使用树果。
该特性的宝可梦使用虫咬、啄食攻击对方，依然能获得树果效果。
紧张感特性在上场时发动，且必定先于其他特性（不包括化学变化气体）。通过复制、找伙伴、特性互换得到的紧张感则不会立即发动，而会等到场上有宝可梦登场后才优先发动。
紧张感特性的宝可梦一离场（替换、倒下），特性的效果消失的瞬间树果就会发动效果。
紧张感特性阻碍回复ＨＰ的树果发动效果的情况下，紧张感特性的宝可梦受到同伴的全场攻击招式的伤害倒下后，同回合内对手也受到该招式的伤害，在昏厥判定前树果的效果会发动，回复ＨＰ，最终导致对手虽然ＨＰ变为了0但是由于随后树果的回复而没有陷入昏厥状态。
- 在第五世代，结算顺序有些不同，紧张感的宝可梦一倒下对手的树果就会立刻发动效果回复ＨＰ，随后再计算受到的该全场攻击招式的伤害，且伤害会大幅减少，但结果还是一样，不会陷入昏厥状态，最终剩余的ＨＰ等于ＨＰ为0的状态下树果回复的ＨＰ量。
- 只有在对手的ＨＰ变为0之前，对手的ＨＰ在树果可以发动效果的范围之内才会出现此现象。
- 紧张感特性的宝可梦使用玉石俱碎或者大爆炸令对手的ＨＰ变为0的情况下也会出现此现象。
以下招式或特性不受该特性的影响：
- 茶会
- 大快朵颐
- 反刍
增加闯入对战发生的几率。",unnerve,让对手紧张，使其无法食用树果。,紧张感
128,"能力变化被对手降低时，每降低一种能力，攻击就会提升2级。若有多个能力被下降，那么上升攻击的阶级相应增加。
下列情况将触发此特性：
- 受到对手的招式影响导致能力变化降低（例如受到清除浓雾）。
- 受到对手的特性影响导致能力变化降低（例如受到威吓）。
- 踩到对手撒出的黏黏网导致速度降低。
- 极巨团体战中神秘障壁被打破导致防御和特防降低，会触发两次。
下列情况不能触发此特性：
- 由于招式的副作用导致能力变化降低（例如使用近身战）。
- 双打对战中由队友使用招式导致能力变化降低（例如使用抛下狠话、糖浆炸弹）
- 由于道具的作用导致能力变化降低（例如发动客房服务）",defiant,被对手降低能力时，攻击会大幅提高。,不服输
129,该特性的宝可梦ＨＰ不足1⁄2时，攻击与特攻降为1⁄2。,defeatist,ＨＰ减半时，会变得软弱，攻击和特攻会减半。,软弱
130,"该特性的宝可梦受到攻击时，有30%几率使目标陷入定身法状态。
以下情况时该特性仍能发动：
- 攻击方处于替身状态；
- 该特性的宝可梦因攻击而陷入昏厥状态；
- 攻击方为同伴宝可梦。
连续招式的每次攻击都可能触发该特性，陷入定身法状态之后剩余的攻击次数仍会正常进行。
目标通过招式Ａ（如挥指、梦话）间接使出了攻击招式Ｂ，则触发特性时招式Ａ会陷入定身法状态。
- 若间接使出的招式Ｂ为蓄力的招式，则陷入定身法状态的是蓄力的招式。被定身法后通过通过A招式再次使出这个蓄力的招式，只有蓄力的回合能正常进行，蓄力后的回合会因为定身法状态而攻击失败。
该特性对Ｚ招式生效，但陷入定身法状态的是Ｚ招式而不是原本的招式。
- 如果是变化招式升级成的Ｚ招式（例如Ｚ自然之力），则陷入定身法状态的是原本招式。
拥有该特性的宝可梦在替身状态下时特性不会发动。",cursed-body,受到攻击时，有时会把对手的招式变为定身法状态。,诅咒之躯
131,在双打和三打对战中，每回合结束有30%的机率治愈一名同伴的异常状态。,healer,有时会治愈异常状态的同伴。,治愈之心
132,"己方场上除自己以外的宝可梦受到的招式直接造成的伤害减少1⁄4。
如果自身场上有多个拥有该特性的宝可梦，特性效果可以叠加。
如在三打对战中有两只拥有友情防守的宝可梦，则另外一只宝可梦受到的伤害就会减少为原来的3⁄4 × 3⁄4 = 9⁄16。",friend-guard,可以减少我方的伤害。,友情防守
133,受到物理招式攻击时，防御降低1级，速度提升2级。物理连续招式的每一击都会触发此特性。,weak-armor,受到物理招式的伤害时，防御会降低，速度会大幅提高。,碎裂铠甲
134,自身体重变为正常的两倍。,heavy-metal,自身的重量会变为２倍。,重金属
135,自身体重变为正常的一半。,light-metal,自身的重量会减半。,轻金属
136,ＨＰ全满时，受到的攻击伤害减为原来的1⁄2。,multiscale,ＨＰ全满时，受到的伤害会变少。,多重鳞片
137,中毒或剧毒状态时，攻击力增加50%。,toxic-boost,变为中毒状态时，物理招式的威力会提高。,中毒激升
138,拥有有该特性的宝可梦陷入灼伤状态时，特攻上升50%。,flare-boost,变为灼伤状态时，特殊招式的威力会提高。,受热激升
139,"每回合结束有50%机率获得使用过的树果（包括对方宝可梦携带，但被该特性的宝可梦使用），大晴天或大日照下几率为100%。
收获特性每回合最多触发一次。如果携带的树果在再次获得后立即被消耗，直到下一次收获能再次触发。
如果超过一个宝可梦有收获特性，速度快的宝可梦先获得使用过的树果。
收获特性无法重复获得被其他宝可梦使用的树果。例如对方宝可梦使用了虫咬。",harvest,可以多次制作出已被使用掉的树果。,收获
140,该特性的宝可梦不会被同伴的物理招式和特殊招式命中。例如：在双打对战中，同伴对自身以外的宝可梦使用放电，该特性宝可梦不会受到攻击。,telepathy,读取我方的攻击，并闪避其招式伤害。,心灵感应
