id,ability_id,effect,short_effect,flavor_text
97,97,该生物的致命一击会造成三倍伤害，而不是通常的双倍伤害。,强化致命一击，造成 3 倍伤害，而不是 2 倍。,击中要害时， 威力会变得更强。
98,98,该生物免疫非直接由技能造成的伤害。例如，这只生物不会受到天气、后坐力、异常状态或尖刺的伤害，但它在灼伤时仍然会受到攻击削减，并且生命球仍然会增强这只生物的技能而不会对其造成伤害。任何直接依赖于这种损害的事情也不会发生；例如，水蛭种子既不会伤害该生物，也不会治愈对手，而带有哈博卡浆果或罗瓦浆果的生物在被该生物击中时不会消耗浆果。以下内容不受影响：挣扎、痛苦分裂（无论是由该生物使用还是针对该生物使用）、肚鼓、替身、诅咒、打倒使用者的技能以及混乱造成的伤害。如果这只生物从带有液体软泥的生物身上吸取生命值，则它不会失去也不会恢复生命值。如果这只生物剧毒，每回合中毒计数仍会增加；如果生物失去了这种能力，它会开始受到与每回合增加伤害一样多的伤害。,防止并非由技能直接造成的伤害。,不会受到攻击以外的伤害。
99,99,这只生物使出或以这只生物为目标的技能绝不会失手。一击击倒技能不受影响。受此能力影响的技能可以在挖掘或飞行等技能的准备回合中击中生物。冒险中：如果主力生物拥有此能力，野外遭遇率将翻倍。,使用者使出或受到的技能都会命中。,由于无防守战术， 双方使出的技能都必定会击中。
100,100,该生物在其优先级范围内排在最后。具有此能力的多个生物按照速度顺序技能。香浓和拖尾优先于该能力；也就是说，具有这些物品的生物会跟随具有此能力的生物技能。同时具有此能力和其中一项物品的生物会延迟，就像它们只拥有该物品一样。此能力在 戏法空间 中照常发挥作用：具有此能力的生物将以与没有此能力的生物相反的速度顺序技能。,使生物的技能在其技能的优先级范围内排在最后。,使出技能的顺序 必定会变为最后。
101,101,如果该生物的基础威力为 60 以下，则其技能的威力为 1.5 倍。这包括可变威力的技能，例如隐藏力量和幅度，当它们的威力为 60 或更低时。任何技能都会考虑“帮助”的威力提升，以及“卷展防御”的威力提升。,将 60 基础威力以下的技能强化至其威力的 1.5 倍。,攻击时可以将 低威力技能的威力提高。
102,102,该生物在强烈阳光下不会出现严重异常状态。该能力无法治愈先前的异常状态。当该能力生效时，休息将完全失败。如果在强烈阳光下对这只生物使用打哈欠会立即失败，而如果天气同时变成强烈阳光，已经使用的打哈欠也会失败。,防止强烈阳光下的异常状态。,晴朗天气时， 不会变为异常状态。
103,103,在对战中，该生物无法使用其持有的物品，该物品也不会对对战产生任何正面或负面的被动效果。该生物也不能使用投掷。铁球和努力物品（男子气概护腕、动力配重、动力护腕、动力腰带、动力镜片、动力带和动力脚链）的速度削减不受影响。不直接影响对战的物品，例如经验值。分享、护身符硬币或安抚铃，照常工作。所有持有的物品在对战之外照常工作。其他使用持有物品的技能，例如自然天赋和切换，照常进行。,防止生物在对战中使用其持有的物品。,无法使用持有的道具。
104,104,该生物的技能完全忽略可能阻碍或阻止其对目标产生影响的能力。例如，这只生物的技能会忽略会完全否定它们的能力，例如吸水；可以阻止其任何效果的能力，例如透明身体、贝壳装甲或黏着；以及提供任何一般保护效果的能力，例如简单、雪斗篷或厚脂肪。如果某个能力可以阻碍或帮助该生物的技能，例如皮肤干燥或纯朴，无论哪种方式，该能力都会被忽略。不符合此描述的能力，即使它们可能以其他方式阻碍技能，也不会受到影响。例如，“诅咒之躯”只会影响该技能的未来潜在使用，而“液体软泥”和“暗影标签”只会阻碍该技能对使用者的影响。该能力不能忽略能力所赋予的属性或形式变化，例如颜色变化或预报；也不是由技能引起但不再与技能相关的效果，例如毛毛雨。这个能力根本无法忽视多属性。被该能力忽略的能力仅在使用该技能时才会无效。例如，该生物的技能可以麻痹拥有柔软的生物，但柔软会立即激活并治愈麻痹状态，并且该生物的尖刺在放置后不受此能力的影响。当这只生物进入对战时，所有参与的训练师都会收到通知它具有这种能力。此能力的效果与兆级电压和涡轮火焰相同。,如果目标的能力能够阻碍或阻止行动，则绕过目标的能力。,可以不受对手特性的干扰， 向对手使出技能。
105,105,该生物的技能的击中要害率比普通生物高出一级。,技能击中要害率提升一级。,因为拥有超幸运， 攻击容易击中对手的要害。
106,106,当该生物被接触技能打倒时，该技能的使用者会受到其最大生命值 1/4 的伤害。,当攻击者被接触技能打倒时，对攻击者造成最大生命值 1/4 的伤害。,变为濒死时， 会对接触到自己的对手造成伤害。
107,107,当这只生物进入战斗时，如果对手之一拥有对其效果绝佳的技能、自毁、爆炸或一击击倒技能，所有参与的训练家都会收到通知。该技能本身并未透露；只是提示存在这样的技能。造成无类型伤害的技能（例如预知未来）和可变类型的技能（例如隐藏力量）算作其列出的类型。该生物免疫的双倍奉还、金属爆裂、镜面反射和一击击倒技能不会触发此能力。,如果对手有超强技能、自毁、爆炸或一击击倒技能，进入对战时通知所有训练师。,可以察觉到 对手拥有的危险技能。
108,108,当这只生物进入战斗时，它会向所有参与的训练师展示任何对手生物已知的最高基础威力技能。如果出现平局，则随机选择一个。没有列出基础威力的技能将按固定威力处理：一击击倒技能为 160；双倍奉还、金属爆裂和镜面反射为 120；可变威力或固定伤害技能为 80；其他未列出的此类技能为 0。,进入对战后揭示对手的最强技能。,出场时， 只读取１个对手拥有的技能。
109,109,为了计算伤害和命中率，该生物会忽略其他生物的能力值修正。实际上，这会影响除速度之外的每个能力值的修饰符。惩罚的力量和储存的力量照常计算。当这只生物在混乱中伤害自己时，它的能力值修正会像往常一样影响伤害。,忽略其他生物的伤害和命中率计算的能力值修正。,可以无视对手能力的变化， 进行攻击。
110,110,该生物对目标不太有效的技能会造成两倍的伤害。,效果不佳的技能造成的伤害加倍。,可以将效果不好的技能 以通常的威力使出。
111,111,该生物因对其效果绝佳的技能而受到 0.75 倍的伤害。此能力的效果与坚硬岩石相同。,效果绝佳技能受到的伤害减少 1/4。,受到效果绝佳的攻击时， 可以减弱其威力。
112,112,该生物的攻击力和速度在进入对战后五回合内减半。该能力在对战中获得时也会生效。如果该生物在五回合结束前失去能力，则其攻击力和速度将恢复正常；如果它随后在没有离开对战的情况下重新获得此能力，则其攻击力和速度会再次减半，但计数器会继续从原来的位置开始计数。,进入对战后五回合内攻击力和速度减半。,在５回合内， 攻击和速度减半。
113,113,该生物无视幽灵属性生物对一般属性和格斗属性技能的免疫。幽灵生物的其他属性会像往常一样影响伤害。,让生物的一般属性和格斗属性技能攻击幽灵生物。,一般属性和格斗属性的技能 可以击中幽灵属性的生物。
114,114,所有其他生物的单一目标水属性技能都会被重定向到该生物（如果它是符合条件的目标）。其他生物的水属性技能会将该生物的特攻提升一级，抵消其上的任何其他效果，并且不会错过它。如果该技能的预定目标也具有此能力，则该技能不会被重定向。当多个具有此能力的生物可能成为重定向目标时，技能将被重定向到速度能力值最高的生物，或者在平局的情况下，重定向到随机并列的生物。看我嘛优先于此能力。,在可能的情况下将单一目标水属性技能重定向到该生物。吸收水属性技能，特攻提升一级。,将水属性的技能引到自己身上， 不会受到伤害，而是会提高特攻。
115,115,该生物在冰雹期间每回合后会恢复其最大生命值的 1/16，并且无论属性如何，它都不会受到冰雹伤害。,冰雹期间每回合后可恢复 1/16 最大生命值。防止冰雹伤害。,冰雹天气时， 会缓缓回复ＨＰ。
116,116,该生物因对其效果绝佳的技能而受到 0.75 倍的伤害。此功能的功能与过滤器相同。,效果绝佳技能受到的伤害减少 1/4。,受到效果绝佳的攻击时， 可以减弱其威力。
117,117,当这只生物进入对战时，天气会变成冰雹，除非被其他天气条件取消，否则不会结束。如果同时派出多只具有该能力的生物（细雨、干旱或沙流），则能力将按速度顺序激活，尊重戏法空间。每个能力的天气都会取消之前的天气，只有速度最慢的生物召唤的天气才会保留。,召唤进入对战后无限期持续的冰雹。,出场时， 会将天气变为冰雹。
118,118,该生物每次对战后都有几率拾取蜂蜜。这个几率从 5% 开始，每升 10 级就会增加 5%：从 1-10 级为 5%，从 11-20 级为 10%，以此类推，从 91-100 级最高为 50%。该能力会在对战结束后进行检查，此时任何临时的能力变化都会消失。,生物可能会在对战后拾取蜂蜜。,战斗结束时， 有时候会捡来甜甜蜜。
119,119,当这只生物进入战斗时，它会向所有参与的训练家展示对手生物持有的物品。在双人对战中，如果一个对手拥有物品，该生物将搜查该生物；如果两者都有一件物品，它会随机搜查其中一件。,进入对战时显示对手持有的物品。,出场时， 可以察觉对手的持有物。
120,120,该生物的反冲技能和冲撞技能的基础威力是其1.2倍。奋斗不受影响。 “崩溃技能”是指在错过时对使用者造成伤害的技能：跳踢和跳高踢。,将后坐力强化至其威力的 1.2 倍。,自己会因反作用力受伤的技能， 其威力会提高。
121,121,如果这只生物持有元素板，它的属性和形态会改变以匹配元素板。该生物持有的物品，无论是否是盘子，都不能被渴望或小偷拿走，也不能被拍落移除，也不能被掉包或戏法交换。渴望、小偷和拍落仍然会对这只生物造成伤害。与“黏着”不同，该生物不能使用“投掷”、“掉包”或“戏法”来失去其本身的物品，也不能通过“掉包”或“戏法”获得物品（如果它没有）。该能力对阿尔宙斯以外的生物无效。该能力不能用特性互换进行交易，也不能用扮演或追踪进行复制，也不能用胃液禁用，也不能用烦恼种子改变。该生物无法通过特性互换或扮演来失去其能力。破格不能忽视这个能力。如果生物通过此能力变身为阿尔宙斯，它将变身为阿尔宙斯的默认普通形态。如果变形生物持有盘子，则该能力将激活并将生物变成相应的形态。,改变阿尔宙斯的属性和形态以匹配其持有的板甲。,自己的属性会根据持有的石板 或Ｚ纯晶的属性而改变。
122,122,如果友方生物具有此能力，那么在强阳光下，友方生物的攻击力和特防力将变为 1.5 倍。与预报、多属性和达摩模式不同，此能力与其生物的形态变化无关；即使樱花儿失去了这种能力，它也会在形态之间切换。因此，如果樱花儿以外的生物获得此能力也有效。,在强烈阳光下，友方生物的攻击力和特防力提高至 1.5 倍。,晴朗天气时， 自己与同伴的攻击和 特防能力会提高。
123,123,对手生物在睡觉时每回合受到最大生命值 1/8 的伤害。,每回合后对熟睡的对手造成最大生命值 1/8 的伤害。,给予睡眠状态的对手伤害。
124,124,每当一个技能与该生物接触时，如果它没有持有的物品，它就会偷走攻击者持有的物品。该生物在被打倒后无法偷窃。如果攻击者有替身，它可以偷窃，但当自己的替身被击中时，它不能偷窃。如果一个技能多次击中，则只有最后一次击中才会触发此能力。如果这只生物是野生的，它就无法从受过训练的生物那里偷东西。,偷窃攻击生物所持有的接触物品。,盗取接触到自己的 对手的道具。
125,125,带有额外效果的生物的技能威力变为原来的1.3倍，但失去额外效果。效果几率是指除了该技能的主要效果之外，该技能造成异常状态、导致属性变化或使目标退缩的几率。例如，电击的麻痹是额外效果，但电磁波的麻痹效果不是额外效果，拍落的物品移除和空气切割机的击中要害率增加也不是。降低使用者能力值的技能不受影响。,将带有额外效果的技能强化至其威力的1.3倍，但会阻止其额外效果。,技能的追加效果消失， 但因此能以更高的威力使出技能。
126,126,每当这只生物的属性提高时，它们就会降低相同的量，反之亦然。,反转能力值变化。,能力的变化发生逆转， 原本提高时会降低， 而原本降低时会提高。
127,127,当这只生物在对战时，对手的生物不能吃掉持有的浆果。受影响的生物仍然可以使用虫咬或采摘来吃掉目标的浆果。,防止对手的生物吃掉持有的浆果。,让对手紧张， 使其无法食用树果。
128,128,当该生物的属性降低时，其攻击力会上升两个阶段。如果同时降低多个属性，则该能力会随着每个属性的降低而生效。,当任何属性降低时，攻击力会提升两级。,能力被降低时， 攻击会大幅提高。
129,129,当ＨＰ为一半以下时，这只生物的攻击力和特攻力都会减半。,最大生命值 50% 以下时，攻击力和特攻力减半。,ＨＰ减半时， 会变得软弱， 攻击和特攻会减半。
130,130,击中这只生物的技能之后有 30% 的几率被禁用。,有 30% 的几率使击中生物的任何技能失效。,受到攻击时， 有时会把对手的技能 变为定身法状态。
131,131,在双重和三重对战中，与该生物相邻的友方生物在每回合后都有 30% 的几率治愈任何严重异常状态。,每回合后有 30% 的几率治愈每个相邻同伴的任何严重异常状态。,有时会治愈异常状态的同伴。
132,132,当这只生物在对战时，所有友方生物都会受到 0.75 倍的直接伤害。如果多个同伴生物拥有该效果，则该效果会叠加。,将友方生物受到的所有直接伤害降低至 0.75 倍。,可以减少我方的伤害。
133,133,每当物理攻击击中这只生物时，它的速度就会上升一级，而防御力就会下降一级。该能力会在多次攻击技能的每次攻击中触发。,受到物理攻击时，速度各提升一级，防御降低一级。,如果因物理技能受到伤害， 防御会降低， 速度会大幅提高。
134,134,该生物的体重是其物种通常的两倍。,生物的重量加倍。,自身的重量会变为２倍。
135,135,这只生物的体重是同种生物的正常体重的一半。,生物的重量减半。,自身的重量会减半。
136,136,当ＨＰ满时，这只生物受到的伤害会减半。,将满 ＨＰ 造成的伤害减半。,ＨＰ全满时， 受到的伤害会变少。
137,137,该生物中毒时攻击力变为 1.5 倍。,中毒时攻击力增加至 1.5 倍。,变为中毒状态时， 物理技能的威力会提高。
138,138,该生物在灼伤时特攻为 1.5 倍。,灼伤时特攻增加 1.5 倍。,变为灼伤状态时， 特殊技能的威力会提高。
139,139,每回合后，如果该生物最后消耗的物品是浆果并且当前没有持有物品，则它有 50% 的几率重新获得该浆果，或者在强阳光下有 100% 的几率。,如果生物在此期间没有持有任何物品，则每回合后有 50% 的几率恢复用过的浆果。,可以多次制作出 已被使用掉的树果。
140,140,该生物不会受到友方生物的技能（包括针对它的单一目标技能）的伤害。,防止友方生物的伤害性技能。,读取我方的攻击， 并闪避其技能伤害。
141,141,每回合结束后，随机一只该生物的属性上升两级，另一只下降一级。如果某个属性已经处于 6 或 -6 级，则不会分别选择增加或减少。,每回合后将随机能力值提高两级并降低另一个级。,每一回合，能力中的某项 会大幅提高，而某项会降低。
142,142,该生物不会受到天气造成的伤害。,防止天气造成的伤害。,不会受到沙暴或冰雹等的伤害。 不会受到粉末类技能的攻击。
143,143,该生物的接触技能每次命中都有 30% 的几率使目标中毒。这算作盾尘的额外效果。这个能力先于木乃伊生效。,接触时有 30% 的几率使目标生物中毒。,只通过接触就有可能 让对手变为中毒状态。
144,144,除了晕倒以外的任何情况下，当该生物被替换为其他生物时，它都会恢复最大生命值的 1/3。该能力在对战结束时不会生效。,切换后可恢复 1/3 最大生命值。,退回同行队伍后， ＨＰ会少量回复。
145,145,该生物的防御力不会被其他生物降低。该生物仍然可以通过心灵互换或防守互换传递负防御调整值。,防止防御下降。,不会受到防御降低的效果。
146,146,该生物的速度在沙尘暴期间加倍，并且无论属性如何，它都不会受到沙尘暴伤害。,沙尘暴期间速度加倍。防止沙尘暴伤害。,沙暴天气时， 速度会提高。
147,147,以该生物为目标时，非伤害性技能的基础命中率固定为 50%。,将针对自己的变化技能基础命中率降至 50%。,成为不易受到变化技能 攻击的身体。
148,148,该生物在回合中最后行动时，其技能威力变为其 1.3 倍。预知未来和末日愿望不受影响。,最后行动时，技能威力增强至1.3倍。,如果在最后使出技能， 技能的威力会提高。
149,149,这只生物在被送出时，似乎具有队伍中最后一个能够对战的生物的种类、昵称和生物球。当受到伤害性技能击中时，这种幻觉就会破裂。其他伤害，例如由于天气或尖刺的影响，不会破坏幻觉，也不会伤害替身。如果队伍顺序因生物在对战中切换而暂时打乱，则该能力会根据打乱的顺序选择最后的生物。,被派出时，会呈现最后一个有意识的队伍生物的外观，直到受到伤害性技能击中为止。,假扮成同行队伍中的 最后一只生物出场， 迷惑对手。
150,150,该生物在进入对战时会随机转变为对手。此效果与变身相同。,进入战斗后会变形。,变身为当前面对的生物。
151,151,该生物的技能无视光墙、反射壁、神秘守护。,绕过光墙、反射壁和神秘守护。,可以穿透对手的壁障 或替身进行攻击。
152,152,每当接触技能击中该生物时，攻击生物的能力就会变为木乃伊。多属性不受影响。如果拥有莫克西的生物将这只生物打倒，则前者的能力将发生变化，但不会生效。,在接触时将攻击生物的能力更改为木乃伊。,被对手接触到后， 会将对手变为木乃伊。
153,153,在打倒另一只生物（甚至是友方生物）后，该生物的攻击力会上升一个级。当该生物间接导致另一生物晕倒时，该能力不会生效，例如通过中毒或尖刺。如果这只生物用木乃伊打倒了一只生物，则前者的能力会发生变化，但不会生效。,打倒生物后，攻击力提升一级。,如果打倒对手， 就会充满自信，攻击会提高。
154,154,每当暗系技能击中该生物时，其攻击力就会上升一级。这一举措并没有以任何方式被否定。,受到暗招伤害时，攻击力提升一级。,受到恶属性的技能攻击时， 因为正义感，攻击会提高。
155,155,该生物的速度会随着恶属性、幽灵系或虫系的伤害性技能的每次攻击而提升一级。,受到恶、幽灵、虫属性技能攻击时，速度提升一级。,受到恶属性、幽灵属性 和虫属性的技能攻击时， 会因胆怯而速度提高。
156,156,当该生物被标记为可反射的技能瞄准时，该技能将被重定向到其使用者。所有可反射技能都是非伤害性的，并且大多数针对其他生物的非伤害性技能都是可反射的。由该能力或魔法外衣反射的技能无法被反射回来。,向使用者反映大多数变化技能。,可以不受到由对手使出的 变化技能影响，并将其反弹。
157,157,每当草属性的技能击中这只生物时，它的攻击力就会上升一级，消除对其产生的任何其他效果。,吸收草招，攻击力提升一级。,受到草属性的技能攻击时， 不会受到伤害，而是攻击会提高。
158,158,该生物的非伤害技能的优先级提高一级。,将非伤害技能的优先级提高一级。,可以率先使出变化技能。
159,159,在沙尘暴期间，该生物的岩石系、地面系和钢属性技能的基础威力是其基础威力的 1.3 倍。无论属性如何，该生物都不会受到沙尘暴伤害。,沙尘暴期间强化岩石属性、地面属性和钢属性技能至 1.3 倍。防止沙尘暴伤害。,沙暴天气时， 岩石属性、地面属性 和钢属性的技能威力会提高。
160,160,每当技能与该生物接触时，该技能的使用者都会受到其最大生命值 1/8 的伤害。该能力的作用与粗糙皮肤相同。,接触时对攻击的生物造成最大生命值 1/8 的伤害。,用铁刺给予接触到自己的 对手伤害。
161,161,该生物在每回合后根据其生命值在标准模式和达摩模式之间切换。低于最大生命值的 50% 时，它会切换到达摩模式，而在 50% 或以上时，它会切换到标准模式。该生物在离开对战或失去此能力后返回标准模式。如果该生物不是达摩狒狒，则该能力无效。,每回合后根据 ＨＰ 改变达摩狒狒的形态：低于 50% 最大 ＨＰ 时为达摩模式，否则为标准模式。,ＨＰ变为一半以下时， 样子会改变。
162,162,当这只生物在对战时，所有友方生物的技能（包括这只生物自己的技能）的命中率都是平时的 1.1 倍。,将友方生物的技能命中率提高至 1.1 倍。,自己和同伴的命中率会提高。
163,163,该生物的技能完全忽略可能阻碍或阻止其对目标产生影响的能力。例如，这只生物的技能会忽略会完全否定它们的能力，例如吸水；可以阻止其任何效果的能力，例如透明身体、贝壳装甲或黏着；以及提供任何一般保护效果的能力，例如简单、雪斗篷或厚脂肪。如果某个能力可以阻碍或帮助该生物的技能，例如皮肤干燥或纯朴，无论哪种方式，该能力都会被忽略。不符合此描述的能力，即使它们可能以其他方式阻碍技能，也不会受到影响。例如，“诅咒之躯”只会影响该技能的未来潜在使用，而“液体软泥”和“暗影标签”只会阻碍该技能对使用者的影响。该能力不能忽略能力所赋予的属性或形式变化，例如颜色变化或预报；也不是由技能引起但不再与技能相关的效果，例如毛毛雨。这个能力根本无法忽视多属性。被该能力忽略的能力仅在使用该技能时才会无效。例如，该生物的技能可以麻痹拥有柔软的生物，但柔软会立即激活并治愈麻痹状态，并且该生物的尖刺在放置后不受此能力的影响。当这只生物进入对战时，所有参与的训练师都会收到通知它具有这种能力。此能力的效果与破格和兆级电压相同。,如果目标的能力能够阻碍或阻止技能，则绕过目标的能力。,可以不受对手特性的干扰， 向对手使出技能。
164,164,该生物的技能完全忽略可能阻碍或阻止其对目标产生影响的能力。例如，这只生物的技能会忽略会完全否定它们的能力，例如吸水；可以阻止其任何效果的能力，例如透明身体、贝壳装甲或黏着；以及提供任何一般保护效果的能力，例如简单、雪斗篷或厚脂肪。如果某个能力可以阻碍或帮助该生物的技能，例如皮肤干燥或纯朴，无论哪种方式，该能力都会被忽略。不符合此描述的能力，即使它们可能以其他方式阻碍技能，也不会受到影响。例如，“诅咒之躯”只会影响该技能的未来潜在使用，而“液体软泥”和“暗影标签”只会阻碍该技能对使用者的影响。该能力不能忽略能力所赋予的属性或形式变化，例如颜色变化或预报；也不是由技能引起但不再与技能相关的效果，例如毛毛雨。这个能力根本无法忽视多属性。被该能力忽略的能力仅在使用该技能时才会无效。例如，该生物的技能可以麻痹拥有柔软的生物，但柔软会立即激活并治愈麻痹状态，并且该生物的尖刺在放置后不受此能力的影响。当这只生物进入对战时，所有参与的训练师都会收到通知它具有这种能力。此能力的效果与破格和涡轮火焰相同。,如果目标的能力能够阻碍或阻止技能，则绕过目标的能力。,可以不受对手特性的干扰， 向对手使出技能。
165,165,保护己方免受会影响精神状态的变化招式影响。,保护己方免受精神类变化招式影响。,可以防住向自己和同伴 发出的精神类招式。
166,166,保护友方草属性生物的能力值不被其他生物降低。,保护友方草属性生物的能力值不被其他生物降低。,我方的草属性生物 能力不会降低， 也不会变为异常状态。
167,167,吃下浆果后，除了浆果的效果外，还能恢复生命值。,吃下浆果后，除了浆果的效果外，还能恢复生命值。,无论是哪种树果， 食用后，ＨＰ都会回复。
168,168,更改持有者的属性以匹配其使用的每个技能。属性更改发生在使用技能之前。,更改持有者的属性以匹配其使用的每个技能。,变为与自己使出的技能 相同的属性。
169,169,物理攻击造成的伤害减半。,物理攻击造成的伤害减半。,对手给予的物理技能的 伤害会减半。
170,170,当持有者使用伤害性技能时窃取目标持有的物品。,当持有者使用伤害性技能时窃取目标持有的物品。,夺走被自己的技能 击中的对手的道具。
171,171,防止基于子弹、球和炸弹的技能。,防止基于子弹、球和炸弹的技能。,可以防住对手的 球和弹类技能。
172,172,任何属性降低时，特攻都会提升两级。,任何属性降低时，特攻都会提升两级。,如果能力被降低， 特攻就会大幅提高。
173,173,咬合技能的威力增强至1.5倍。,咬合技能的威力增强至1.5倍。,因为颚部强壮， 啃咬类技能的威力会提高。
174,174,将持有者的一般属性技能转变为冰属性技能。通过该能力改变的技能威力变为原来的 1.3 倍。,将持有者的一般属性技能变为冰技能，威力强化至1.3倍。,一般属性的技能 会变为冰属性。 威力会少量提高。
175,175,阻止友方生物睡觉。,阻止友方生物睡觉。,我方的生物 不会变为睡眠状态。
176,176,在使用伤害性技能之前将圣盾斩更改为剑刃形态，或者在使用王者盾牌之前将盾牌形态更改为盾牌形态。,在使用伤害性技能之前将圣盾斩更改为剑刃形态，或者在使用王者盾牌之前将盾牌形态更改为盾牌形态。,如果使出攻击技能，会变为刀剑形态， 如果使出技能“王者盾牌”， 会变为盾牌形态。
177,177,飞行技能的优先级提升一级。,飞行技能的优先级提升一级。,ＨＰ全满时， 飞行属性的技能可以率先使出。
178,178,增强光环，脉冲技能至其威力的 1.5 倍。,增强光环，脉冲技能至其威力的 1.5 倍。,波动和波导类技能的 威力会提高。
179,179,草地地形生效时提高防御力。,草地地形生效时提高防御力。,在青草场地时， 防御会提高。
180,180,当同伴用完其物品时，将持有者持有的物品传递给同伴。,当同伴用完其物品时，将持有者持有的物品传递给同伴。,同伴使用道具时， 会把自己持有的道具传递给同伴。
181,181,将接触的技能强化至其威力的 1.33 倍。,将接触的技能强化至其威力的 1.33 倍。,接触到对手的技能 威力会提高。
182,182,将持有者的一般属性技能转变为妖精系技能。通过该能力改变的技能威力变为原来的 1.3 倍。,将持有者的一般属性技能转化为仙招，威力强化至1.3倍。,一般属性的技能 会变为妖精属性。 威力会少量提高。
183,183,接触时，攻击生物的速度降低一级。,接触时，攻击生物的速度降低一级。,对于用攻击接触到自己的对手， 会降低其速度。
184,184,将持有者的一般属性技能转变为飞行系技能。通过该能力改变的技能威力变为原来的 1.3 倍。,将持有者的一般属性技能变为飞行技能，威力强化至1.3倍。,一般属性的技能 会变为飞行属性。 威力会少量提高。
185,185,让持有者以伤害性技能攻击两次。第二击威力减半。,让持有者以伤害性技能攻击两次。第二击威力减半。,亲子俩可以合计攻击２次。
186,186,强化所有友方和对手生物的恶属性技能。,使所有友方和对手生物的暗属性威力提升至 1.33 倍。,全体的恶属性技能变强。
187,187,强化所有友方和对手生物的妖精技能。,对所有友方和对手生物，妖精技能的威力增强至 1.33 倍。,全体的妖精属性技能变强。
188,188,当这只生物在场上时，恶属性气场和妖精光环将各自类型的技能削弱至 2/3，而不是增强它们的威力。,使恶属性气场和仙气削弱各自属性的技能。,让气场的效果发生逆转， 降低威力。
189,189,当这只生物进入战斗或获得此能力时，天气会变成大雨。大雨具有雨舞的所有属性，也会导致伤害性火属性技能失败。当该生物离开战斗、失去此能力或此能力无效时，大雨就会结束。除了三角洲溪流和荒凉之地的影响之外，天气无法以其他方式改变。气锁和云九将防止大雨的影响，包括允许火属性技能生效，但不允许天气改变。,制造大雨，具有雨舞的所有属性，无法被替换，并导致伤害性火属性技能失败。,变为不会受到 火属性攻击的天气。
190,190,当这只生物进入战斗或获得此能力时，天气会变得极其刺眼的阳光。极其刺眼的阳光具有晴天的所有特性，也会导致伤害性水属性技能失败。当该生物离开战斗、失去该能力或该能力无效时，极端刺眼的阳光就会结束。除了三角洲溪流和原始海的影响之外，天气无法以其他方式改变。气锁和云九将防止极其刺眼的阳光的影响，包括允许水属性技能生效，但不允许天气改变。,产生极其刺眼的阳光，具有晴天的所有属性，无法被替换，并导致伤害性水属性技能失败。,变为不会受到 水属性攻击的天气。
191,191,当这只生物进入战斗或获得此能力时，天气会变成神秘的气流。神秘的气流会让本应对飞行属性效果绝佳的技能改为造成中性伤害。预期和隐形岩不受影响。当该生物离开战斗或失去该能力或该能力无效时，神秘气流就会结束。除了荒地和原始海的影响之外，天气无法改变。气锁和云九将阻止神秘气流的影响，但不会改变天气。,产生一股无法被替换的神秘气流，导致技能对飞行生物永远不会效果绝佳。,变为令飞行属性的弱点 消失的天气。
192,192,这只生物受到技能伤害时，防御力上升一级。,这只生物受到技能伤害时，防御力上升一级。,受到攻击时， 防御会提高。
193,193,该生物被技能击中后，如果该技能导致该生物的生命值低于一半，则其切换。,当ＨＰ低于一半时，该生物会自动切换。,ＨＰ变为一半时， 会慌慌张张逃走， 退回同行队伍中。
194,194,该生物被技能击中后，如果该技能导致该生物的生命值低于一半，则其切换。,当ＨＰ低于一半时，该生物会自动切换。,ＨＰ变为一半时， 为了回避危险， 会退回到同行队伍中。
195,195,当这只生物被水属性技能击中时，它的防御力会提升两级。,当这只生物被水属性技能击中时，它的防御力会提升两级。,受到水属性的技能攻击时， 防御会大幅提高。
196,196,该生物的技能对中毒目标造成致命一击。,该生物的技能对中毒目标造成致命一击。,攻击中毒状态的对手时， 必定会击中要害。
197,197,该生物进入战斗时，每回合结束时，生命值在50%以上时，变为流星形态；否则，变为核心形态。在流星形态下，它不能被赋予严重异常状态（尽管现有的异常状态没有被治愈），不能因为打哈欠而变得昏昏欲睡，也不能使用休息（这只会失败）。该能力无法被复制、替换或无效。该能力仅对小人有效。,在核心形态和流星形态之间变换这个小形态。在流星形态下防止严重异常状态和嗜睡。,ＨＰ变为一半时， 壳会坏掉，变得有攻击性。
198,198,该生物的技能对本回合中互换的生物具有双倍威力。,该生物的技能对本回合中互换的生物具有双倍威力。,可以对替换出场的对手 以２倍的伤害进行攻击。
199,199,当这只生物被火属性击中时，伤害减半。当这只生物使用水属性技能时，威力会加倍。该生物不会被烧伤，如果被烧伤，烧伤会立即治愈。,火属性技能的伤害减半，水属性技能的伤害加倍，并防止烧伤。,降低自己受到的火属性 技能的威力，不会灼伤。
200,200,该生物的钢技能威力为 1.5 倍。,该生物的钢技能威力为 1.5 倍。,钢属性的技能威力会提高。
201,201,每当该生物受到导致生命值低于 50% 的技能伤害时，其特攻就会上升一级。,每当这只生物的生命值低于一半时，它的特攻就会提升一级。,因对手的攻击 ＨＰ变为一半时， 特攻会提高。
202,202,在冰雹期间，这只生物的速度加倍。,在冰雹期间，这只生物的速度加倍。,冰雹天气时， 速度会提高。
203,203,该生物使用的技能不会产生接触。,该生物的技能不产生接触。,可以不接触对手 就使出所有的技能。
204,204,当这只生物使用基于声音的技能时，该技能的类型是水。,声音类技能变为水类技能。,所有的声音技能 都变为水属性。
